activity_id,transaction_type_code,currency,total_amount,first_date,last_date
XM-DAC-46004-53078-001-LN4358,2,USD,162434223.10,2023-09-30,2023-09-30
XM-DAC-46004-53078-001-LN4358,5,USD,277903.89,2024-10-31,2025-08-31
NL-KVK-40530467-GLA-LR,3,EUR,947052,2016-01-01,2020-12-31
NL-KVK-40530467-GLA-LR,2,EUR,883593,2016-01-01,2020-01-01
NL-KVK-40530467-GLA-LR,4,EUR,144583,2016-01-01,2020-12-31
NL-KVK-40530467-GLA-LR,1,EUR,1028177,2016-01-01,2020-01-01
CA-3-P011535001,2,CAD,15000000.00,2023-02-08,2023-02-08
CA-3-P011535001,3,CAD,7105673.02,2023-02-22,2025-10-02
CA-3-A032152004,2,CAD,4874257.96,2008-08-19,2008-08-19
CA-3-A032152004,3,CAD,4874257.96,2008-09-17,2014-02-18
XM-DAC-46004-50195-001-LN3519,2,USD,25000000.00,2023-09-30,2023-09-30
XM-DAC-46004-50195-001-LN3519,3,USD,22700000.00,2016-06-30,2025-08-31
XM-DAC-46004-50195-001-LN3519,6,USD,22700000.00,2022-03-31,2025-08-31
XM-DAC-46004-50195-001-LN3519,5,USD,2427485.34,2020-07-31,2025-08-31
XM-DAC-46004-49241-001-LN3383,2,USD,14000000.00,2023-09-30,2023-09-30
XM-DAC-46004-49241-001-LN3383,6,USD,9939806.04,2020-01-31,2025-08-31
XM-DAC-46004-49241-001-LN3383,5,USD,4245212.55,2020-01-31,2025-08-31
XM-DAC-46004-50195-001-LN3488,2,USD,12700000.00,2023-09-30,2023-09-30
XM-DAC-46004-50195-001-LN3488,6,USD,10152892.12,2020-09-30,2025-08-31
XM-DAC-46004-50195-001-LN3488,5,USD,3092662.62,2020-03-31,2025-08-31
XM-DAC-46004-50088-002-GRNT0611,2,USD,14600000.00,2023-09-30,2023-09-30
XM-DAC-46004-50088-002-GRNT0611,1,USD,1000000.00,2025-08-11,2025-08-11
CA-3-P011653001,2,CAD,16512000.00,2023-08-30,2023-08-30
CA-3-P011653001,3,CAD,16500000.00,2023-09-11,2025-09-22
XI-IATI-EC_INTPA-2023-ACT-60639,2,EUR,30000000,2023-02-07,2023-08-25
XM-DAC-46004-49450-030-GRNT1010,2,USD,24900000.00,2023-09-30,2023-09-30
XM-DAC-46004-49450-030-GRNT1010,3,USD,31835.08,2024-12-31,2025-08-31
XM-DAC-46004-50195-001-LN3518,2,USD,28500000.00,2023-09-30,2023-09-30
CA-3-A035428001,2,CAD,1953369.32,2011-12-15,2011-12-15
XM-DAC-46004-52174-002-GRNT0837,2,USD,41400000.00,2023-09-30,2023-09-30
