activity_id,default_finance_type_code
46002-P-Z1-FA0-047,110
46002-P-Z1-FA0-049,110
46002-P-Z1-FA0-054,110
46002-P-Z1-FA0-072,421
46002-P-Z1-FA0-073,421
46002-P-Z1-FA0-075,421
46002-P-Z1-FA0-076,110
46002-P-Z1-FA0-078,110
46002-P-Z1-FA0-081,421
46002-P-Z1-FA0-084,110
46002-P-Z1-FA0-085,110
46002-P-Z1-FA0-086,421
46002-P-Z1-FA0-098,421
46002-P-Z1-FA0-099,421
46002-P-Z1-FA0-101,421
46002-P-Z1-FA0-105,110
46002-P-Z1-FA0-109,421
46002-P-Z1-FA0-119,421
46002-P-Z1-FA0-139,110
46002-P-Z1-FA0-146,421
46002-P-Z1-FA0-148,421
46002-P-Z1-FA0-149,421
46002-P-Z1-FA0-152,110
46002-P-Z1-FA0-162,421
46002-P-Z1-FA0-164,110
46002-P-Z1-FA0-165,110
46002-P-Z1-FA0-172,110
46002-P-Z1-FA0-179,110
46002-P-Z1-FA0-180,110
46002-P-Z1-FA0-186,110
46002-P-Z1-FA0-191,110
46002-P-Z1-FAC-003,110
46002-P-Z1-FAD-007,110
46002-P-Z1-FAD-008,421
46002-P-Z1-FAD-018,110
46002-P-Z1-FZ0-009,110
46002-P-ZA-D00-004,421
46002-P-ZA-FA0-003,421
46002-P-ZA-FF0-001,421
46002-P-ZM-E00-010,421
46002-P-ZM-EB0-001,110
46002-P-ZM-FA0-003,421
46002-P-ZW-E00-002,110
46002-P-ZW-E00-003,421
46002-P-ZW-E00-004,421
46002-P-ZW-E00-005,110
46002-P-ZW-E00-006,110
46002-P-ZW-E00-009,110
46002-P-ZW-E00-010,110
46002-P-ZW-EAZ-001,110
46002-P-ZW-EAZ-002,110
46002-P-ZW-F00-006,110
CA-3-A018823001,110
CA-3-A020397001,110
CA-3-A021334002,110
CA-3-A021363001,110
CA-3-A021378002,110
CA-3-A030420001,110
CA-3-A030451001,110
CA-3-A030493001,110
CA-3-A030661001,110
CA-3-A030912001,110
CA-3-A030915001,110
CA-3-A030927001,110
CA-3-A031006001,110
CA-3-A031053003,110
CA-3-A031476001,110
CA-3-A031537005,110
CA-3-A031543001,110
CA-3-A031558001,110
CA-3-A031611001,110
CA-3-A031650001,110
CA-3-A031651001,110
CA-3-A031651002,110
CA-3-A031668001,110
CA-3-A031708001,110
CA-3-A031715001,110
CA-3-A031717001,110
CA-3-A031825001,110
CA-3-A031829001,110
CA-3-A031843004,110
CA-3-A031866001,110
CA-3-A031879001,110
CA-3-A031899001,110
CA-3-A031901001,110
CA-3-A031937001,110
CA-3-A031958001,110
CA-3-A032075001,110
CA-3-A032087001,110
CA-3-A032092001,110
CA-3-A032124001,110
CA-3-A032149001,110
CA-3-A032150001,110
CA-3-A032150002,110
CA-3-A032150003,110
CA-3-A032152001,110
CA-3-A032152004,110
CA-3-A032178001,110
CA-3-A032187001,110
CA-3-A032225001,110
CA-3-A032232003,110
CA-3-A032273001,110
CA-3-A032303001,110
CA-3-A032314001,110
CA-3-A032343001,110
CA-3-A032441001,110
CA-3-A032458001,110
CA-3-A032479001,110
CA-3-A032547001,110
CA-3-A032549001,110
CA-3-A032549002,110
CA-3-A032551002,110
CA-3-A032552001,110
CA-3-A032563001,110
CA-3-A032564001,110
CA-3-A032581001,110
CA-3-A032681001,110
CA-3-A032710001,110
CA-3-A032711002,110
CA-3-A032786001,110
CA-3-A032792001,110
CA-3-A032889001,110
CA-3-A032896001,110
CA-3-A032896002,110
CA-3-A032901007,110
CA-3-A032909001,110
CA-3-A032909002,110
CA-3-A032909003,110
CA-3-A032941001,110
CA-3-A032970001,110
CA-3-A032981001,110
CA-3-A033017001,110
CA-3-A033020001,110
CA-3-A033022001,110
